ts,iso,open,high,low,close,vol
1748241900000,2025-05-26T06:45:00.000Z,2570.04,2585.46,2569.11,2583.7,698.4744556
1748242800000,2025-05-26T07:00:00.000Z,2583,2599,2579.58,2586.23,816.9476685
1748243700000,2025-05-26T07:15:00.000Z,2585.9,2592.58,2581.48,2582.33,872.6198464
1748244600000,2025-05-26T07:30:00.000Z,2581.92,2587.09,2577.93,2583.76,1106.26894842
1748245500000,2025-05-26T07:45:00.000Z,2583.77,2584.69,2577.43,2580.82,608.322272
1748246400000,2025-05-26T08:00:00.000Z,2580.83,2583,2573.38,2578.99,714.4218053
1748247300000,2025-05-26T08:15:00.000Z,2579,2581.49,2574.18,2574.73,489.0537657
1748248200000,2025-05-26T08:30:00.000Z,2574.74,2576.37,2568.55,2570.3,620.5958894
1748249100000,2025-05-26T08:45:00.000Z,2570.08,2571.74,2564.74,2568.16,517.9256578
1748250000000,2025-05-26T09:00:00.000Z,2568.5,2573.52,2564.48,2573.3,374.9069792
1748250900000,2025-05-26T09:15:00.000Z,2573.3,2574.55,2570.61,2571.26,322.0804533
1748251800000,2025-05-26T09:30:00.000Z,2571.25,2571.42,2554.78,2561.72,911.3285044
1748252700000,2025-05-26T09:45:00.000Z,2561.89,2563.87,2558.78,2563.63,539.8275295
1748253600000,2025-05-26T10:00:00.000Z,2563.24,2566.52,2559.7,2564.23,380.5934936
1748254500000,2025-05-26T10:15:00.000Z,2564.22,2569.37,2561.08,2567.09,216.0763914
1748255400000,2025-05-26T10:30:00.000Z,2567.02,2567.5,2563.53,2566.52,201.0277988
1748256300000,2025-05-26T10:45:00.000Z,2566.53,2567.41,2554.67,2559.27,376.5724817
1748257200000,2025-05-26T11:00:00.000Z,2559.51,2563.53,2555.6,2561.37,321.6474354
1748258100000,2025-05-26T11:15:00.000Z,2561.68,2563.76,2560.37,2562.7,225.4169701
1748259000000,2025-05-26T11:30:00.000Z,2562.88,2567.39,2556.7,2566.54,431.0006635
1748259900000,2025-05-26T11:45:00.000Z,2566.3,2568.16,2564.14,2567.77,300.292261
1748260800000,2025-05-26T12:00:00.000Z,2567.78,2570,2562.98,2563.84,340.8686343
1748261700000,2025-05-26T12:15:00.000Z,2564.16,2566.88,2560.81,2562.94,306.1994203
1748262600000,2025-05-26T12:30:00.000Z,2563.15,2566,2561.92,2565.97,375.4019526
1748263500000,2025-05-26T12:45:00.000Z,2565.97,2574,2564.97,2568.15,381.9019337
1748264400000,2025-05-26T13:00:00.000Z,2568.15,2571.61,2560.05,2562.48,505.8895559
1748265300000,2025-05-26T13:15:00.000Z,2562.57,2566.73,2556.53,2564.28,1243.4923661
1748266200000,2025-05-26T13:30:00.000Z,2563.93,2569.32,2561.5,2564.55,654.2117216
1748267100000,2025-05-26T13:45:00.000Z,2564.86,2565.23,2538.42,2550.73,1725.7188933
1748268000000,2025-05-26T14:00:00.000Z,2550.94,2556.19,2546.96,2555.9,773.488258
1748268900000,2025-05-26T14:15:00.000Z,2555.89,2556.19,2545.69,2549.94,1024.1514556
